PARAMETER,YEAR,LAT,LON, IRRAD [kW-hr/m^2/day]
ALLSKY_SFC_SW_DWN,1984,24.25,-161.75,5.43
ALLSKY_SFC_SW_DWN,1985,17.75,-153.25,5.44
ALLSKY_SFC_SW_DWN,1985,17.75,-153.75,5.44
ALLSKY_SFC_SW_DWN,1985,17.75,-154.25,5.53
ALLSKY_SFC_SW_DWN,1985,17.75,-154.75,5.53
ALLSKY_SFC_SW_DWN,1985,17.75,-155.25,5.63
ALLSKY_SFC_SW_DWN,1985,17.75,-155.75,5.63
ALLSKY_SFC_SW_DWN,1985,17.75,-156.25,5.68
ALLSKY_SFC_SW_DWN,1985,17.75,-156.75,5.68
ALLSKY_SFC_SW_DWN,1985,17.75,-157.25,5.68
ALLSKY_SFC_SW_DWN,1985,17.75,-157.75,5.68
ALLSKY_SFC_SW_DWN,1985,17.75,-158.25,5.6
ALLSKY_SFC_SW_DWN,1985,17.75,-158.75,5.6
ALLSKY_SFC_SW_DWN,1985,17.75,-159.25,5.54
ALLSKY_SFC_SW_DWN,1985,17.75,-159.75,5.54
ALLSKY_SFC_SW_DWN,1985,17.75,-160.25,5.52
ALLSKY_SFC_SW_DWN,1985,17.75,-160.75,5.52
ALLSKY_SFC_SW_DWN,1985,17.75,-161.25,5.51
ALLSKY_SFC_SW_DWN,1985,17.75,-161.75,5.51
ALLSKY_SFC_SW_DWN,1985,18.25,-153.25,5.44
ALLSKY_SFC_SW_DWN,1985,18.25,-153.75,5.44
ALLSKY_SFC_SW_DWN,1985,18.25,-154.25,5.5
ALLSKY_SFC_SW_DWN,1985,18.25,-154.75,5.5
ALLSKY_SFC_SW_DWN,1985,18.25,-155.25,5.62
ALLSKY_SFC_SW_DWN,1985,18.25,-155.75,5.62
ALLSKY_SFC_SW_DWN,1985,18.25,-156.25,5.64
ALLSKY_SFC_SW_DWN,1985,18.25,-156.75,5.64
ALLSKY_SFC_SW_DWN,1985,18.25,-157.25,5.4
ALLSKY_SFC_SW_DWN,1985,18.25,-157.75,5.4
ALLSKY_SFC_SW_DWN,1985,18.25,-158.25,5.32
ALLSKY_SFC_SW_DWN,1985,18.25,-158.75,5.32
ALLSKY_SFC_SW_DWN,1985,18.25,-159.25,5.37
ALLSKY_SFC_SW_DWN,1985,18.25,-159.75,5.37
ALLSKY_SFC_SW_DWN,1985,18.25,-160.25,5.44
