PARAMETER,YEAR,LAT,LON,TEMP [C]
T2M,1985,18.75,-161.25,24.63
T2M,1985,18.75,-161.75,24.64
T2M,1985,19.25,-153.25,23.89
T2M,1985,19.25,-153.75,23.92
T2M,1985,19.25,-154.25,23.95
T2M,1985,19.25,-154.75,22.85
T2M,1985,19.25,-155.25,21.22
T2M,1985,19.25,-155.75,20.81
T2M,1985,19.25,-156.25,24.49
T2M,1985,19.25,-156.75,24.44
T2M,1985,19.25,-157.25,24.38
T2M,1985,19.25,-157.75,24.36
T2M,1985,19.25,-158.25,24.38
T2M,1985,19.25,-158.75,24.4
T2M,1985,19.25,-159.25,24.42
T2M,1985,19.25,-159.75,24.46
T2M,1985,19.25,-160.25,24.51
T2M,1985,19.25,-160.75,24.55
T2M,1985,19.25,-161.25,24.59
T2M,1985,19.25,-161.75,24.59
T2M,1985,19.75,-153.25,23.76
T2M,1985,19.75,-153.75,23.8
T2M,1985,19.75,-154.25,23.84
T2M,1985,19.75,-154.75,22.65
T2M,1985,19.75,-155.25,20.63
T2M,1985,19.75,-155.75,19.94
T2M,1985,19.75,-156.25,24.44
T2M,1985,19.75,-156.75,24.48
T2M,1985,19.75,-157.25,24.43
T2M,1985,19.75,-157.75,24.39
T2M,1985,19.75,-158.25,24.38
T2M,1985,19.75,-158.75,24.38
T2M,1985,19.75,-159.25,24.38
T2M,1985,19.75,-159.75,24.41
T2M,1985,19.75,-160.25,24.44
T2M,1985,19.75,-160.75,24.48
T2M,1985,19.75,-161.25,24.5
T2M,1985,19.75,-161.75,24.5
T2M,1985,20.25,-153.25,23.65
T2M,1985,20.25,-153.75,23.69
T2M,1985,20.25,-154.25,23.73
T2M,1985,20.25,-154.75,23.52
T2M,1985,20.25,-155.25,22.73
T2M,1985,20.25,-155.75,22.13
T2M,1985,20.25,-156.25,23.59
T2M,1985,20.25,-156.75,24.31
T2M,1985,20.25,-157.25,24.47
T2M,1985,20.25,-157.75,24.42
T2M,1985,20.25,-158.25,24.35
T2M,1985,20.25,-158.75,24.33
T2M,1985,20.25,-159.25,24.32
T2M,1985,20.25,-159.75,24.33
T2M,1985,20.25,-160.25,24.35
T2M,1985,20.25,-160.75,24.37
T2M,1985,20.25,-161.25,24.38
T2M,1985,20.25,-161.75,24.38
T2M,1985,20.75,-153.25,23.54
T2M,1985,20.75,-153.75,23.58
T2M,1985,20.75,-154.25,23.62
T2M,1985,20.75,-154.75,23.67
T2M,1985,20.75,-155.25,23.64
T2M,1985,20.75,-155.75,23.4
T2M,1985,20.75,-156.25,22.74
T2M,1985,20.75,-156.75,23.83
T2M,1985,20.75,-157.25,24.25
T2M,1985,20.75,-157.75,24.32
T2M,1985,20.75,-158.25,24.27
T2M,1985,20.75,-158.75,24.24
T2M,1985,20.75,-159.25,24.22
T2M,1985,20.75,-159.75,24.23
T2M,1985,20.75,-160.25,24.24
T2M,1985,20.75,-160.75,24.25
T2M,1985,20.75,-161.25,24.25
T2M,1985,20.75,-161.75,24.26
T2M,1985,21.25,-153.25,23.44
T2M,1985,21.25,-153.75,23.48
T2M,1985,21.25,-154.25,23.52
T2M,1985,21.25,-154.75,23.55
T2M,1985,21.25,-155.25,23.59
T2M,1985,21.25,-155.75,23.52
T2M,1985,21.25,-156.25,23.17
T2M,1985,21.25,-156.75,23.53
T2M,1985,21.25,-157.25,23.78
T2M,1985,21.25,-157.75,23.86
T2M,1985,21.25,-158.25,23.86
T2M,1985,21.25,-158.75,24.11
T2M,1985,21.25,-159.25,24
T2M,1985,21.25,-159.75,24.07
T2M,1985,21.25,-160.25,24.13
T2M,1985,21.25,-160.75,24.14
T2M,1985,21.25,-161.25,24.14
T2M,1985,21.25,-161.75,24.14
T2M,1985,21.75,-153.25,23.34
T2M,1985,21.75,-153.75,23.39
T2M,1985,21.75,-154.25,23.43
T2M,1985,21.75,-154.75,23.45
T2M,1985,21.75,-155.25,23.48
T2M,1985,21.75,-155.75,23.5
T2M,1985,21.75,-156.25,23.53
T2M,1985,21.75,-156.75,23.51
T2M,1985,21.75,-157.25,23.54
T2M,1985,21.75,-157.75,23.53
T2M,1985,21.75,-158.25,23.56
T2M,1985,21.75,-158.75,23.86
T2M,1985,21.75,-159.25,23.58
T2M,1985,21.75,-159.75,23.75
T2M,1985,21.75,-160.25,23.96
T2M,1985,21.75,-160.75,24.02
T2M,1985,21.75,-161.25,24
T2M,1985,21.75,-161.75,24.01
T2M,1985,22.25,-153.25,23.26
T2M,1985,22.25,-153.75,23.3
T2M,1985,22.25,-154.25,23.33
T2M,1985,22.25,-154.75,23.35
T2M,1985,22.25,-155.25,23.38
T2M,1985,22.25,-155.75,23.4
T2M,1985,22.25,-156.25,23.42
T2M,1985,22.25,-156.75,23.44
T2M,1985,22.25,-157.25,23.47
T2M,1985,22.25,-157.75,23.5
T2M,1985,22.25,-158.25,23.54
T2M,1985,22.25,-158.75,23.61
T2M,1985,22.25,-159.25,23.36
T2M,1985,22.25,-159.75,23.52
T2M,1985,22.25,-160.25,23.73
T2M,1985,22.25,-160.75,23.83
T2M,1985,22.25,-161.25,23.82
T2M,1985,22.25,-161.75,23.85
T2M,1985,22.75,-153.25,23.16
T2M,1985,22.75,-153.75,23.19
T2M,1985,22.75,-154.25,23.22
T2M,1985,22.75,-154.75,23.24
T2M,1985,22.75,-155.25,23.27
T2M,1985,22.75,-155.75,23.29
T2M,1985,22.75,-156.25,23.31
T2M,1985,22.75,-156.75,23.32
T2M,1985,22.75,-157.25,23.34
T2M,1985,22.75,-157.75,23.37
T2M,1985,22.75,-158.25,23.41
T2M,1985,22.75,-158.75,23.46
T2M,1985,22.75,-159.25,23.43
T2M,1985,22.75,-159.75,23.5
T2M,1985,22.75,-160.25,23.57
T2M,1985,22.75,-160.75,23.62
T2M,1985,22.75,-161.25,23.64
T2M,1985,22.75,-161.75,23.69
T2M,1985,23.25,-153.25,23.04
T2M,1985,23.25,-153.75,23.07
T2M,1985,23.25,-154.25,23.09
T2M,1985,23.25,-154.75,23.12
T2M,1985,23.25,-155.25,23.15
T2M,1985,23.25,-155.75,23.18
T2M,1985,23.25,-156.25,23.19
T2M,1985,23.25,-156.75,23.2
T2M,1985,23.25,-157.25,23.21
T2M,1985,23.25,-157.75,23.25
T2M,1985,23.25,-158.25,23.3
T2M,1985,23.25,-158.75,23.35
T2M,1985,23.25,-159.25,23.39
T2M,1985,23.25,-159.75,23.42
T2M,1985,23.25,-160.25,23.44
T2M,1985,23.25,-160.75,23.46
T2M,1985,23.25,-161.25,23.48
T2M,1985,23.25,-161.75,23.53
T2M,1985,23.75,-153.25,22.91
T2M,1985,23.75,-153.75,22.95
T2M,1985,23.75,-154.25,22.97
T2M,1985,23.75,-154.75,23
T2M,1985,23.75,-155.25,23.02
T2M,1985,23.75,-155.75,23.05
T2M,1985,23.75,-156.25,23.06
T2M,1985,23.75,-156.75,23.07
T2M,1985,23.75,-157.25,23.09
T2M,1985,23.75,-157.75,23.13
T2M,1985,23.75,-158.25,23.17
T2M,1985,23.75,-158.75,23.21
T2M,1985,23.75,-159.25,23.24
T2M,1985,23.75,-159.75,23.27
T2M,1985,23.75,-160.25,23.29
T2M,1985,23.75,-160.75,23.3
T2M,1985,23.75,-161.25,23.32
T2M,1985,23.75,-161.75,23.35
T2M,1985,24.25,-153.25,22.79
T2M,1985,24.25,-153.75,22.82
T2M,1985,24.25,-154.25,22.84
T2M,1985,24.25,-154.75,22.86
T2M,1985,24.25,-155.25,22.89
T2M,1985,24.25,-155.75,22.91
T2M,1985,24.25,-156.25,22.93
T2M,1985,24.25,-156.75,22.95
T2M,1985,24.25,-157.25,22.97
T2M,1985,24.25,-157.75,23
T2M,1985,24.25,-158.25,23.03
T2M,1985,24.25,-158.75,23.05
T2M,1985,24.25,-159.25,23.07
T2M,1985,24.25,-159.75,23.1
T2M,1985,24.25,-160.25,23.12
T2M,1985,24.25,-160.75,23.13
T2M,1985,24.25,-161.25,23.14
T2M,1985,24.25,-161.75,23.16
T2M,1986,17.75,-153.25,25.23
T2M,1986,17.75,-153.75,25.24
T2M,1986,17.75,-154.25,25.25
T2M,1986,17.75,-154.75,25.26
T2M,1986,17.75,-155.25,25.28
T2M,1986,17.75,-155.75,25.3
T2M,1986,17.75,-156.25,25.34
T2M,1986,17.75,-156.75,25.38
T2M,1986,17.75,-157.25,25.41
T2M,1986,17.75,-157.75,25.44
T2M,1986,17.75,-158.25,25.46
T2M,1986,17.75,-158.75,25.47
T2M,1986,17.75,-159.25,25.49
T2M,1986,17.75,-159.75,25.52
T2M,1986,17.75,-160.25,25.54
T2M,1986,17.75,-160.75,25.57
T2M,1986,17.75,-161.25,25.6
T2M,1986,17.75,-161.75,25.61
T2M,1986,18.25,-153.25,25.11
T2M,1986,18.25,-153.75,25.13
T2M,1986,18.25,-154.25,25.14
T2M,1986,18.25,-154.75,25.15
T2M,1986,18.25,-155.25,25.19
T2M,1986,18.25,-155.75,25.25
T2M,1986,18.25,-156.25,25.31
T2M,1986,18.25,-156.75,25.34
T2M,1986,18.25,-157.25,25.35
T2M,1986,18.25,-157.75,25.36
T2M,1986,18.25,-158.25,25.36
T2M,1986,18.25,-158.75,25.37
T2M,1986,18.25,-159.25,25.4
T2M,1986,18.25,-159.75,25.43
T2M,1986,18.25,-160.25,25.46
T2M,1986,18.25,-160.75,25.5
T2M,1986,18.25,-161.25,25.52
T2M,1986,18.25,-161.75,25.52
T2M,1986,18.75,-153.25,24.99
T2M,1986,18.75,-153.75,25.01
T2M,1986,18.75,-154.25,25.03
T2M,1986,18.75,-154.75,24.89
T2M,1986,18.75,-155.25,24.55
T2M,1986,18.75,-155.75,24.44
T2M,1986,18.75,-156.25,25.42
T2M,1986,18.75,-156.75,25.36
T2M,1986,18.75,-157.25,25.31
T2M,1986,18.75,-157.75,25.29
T2M,1986,18.75,-158.25,25.3
T2M,1986,18.75,-158.75,25.31
T2M,1986,18.75,-159.25,25.33
T2M,1986,18.75,-159.75,25.36
T2M,1986,18.75,-160.25,25.39
T2M,1986,18.75,-160.75,25.43
T2M,1986,18.75,-161.25,25.44
T2M,1986,18.75,-161.75,25.44
T2M,1986,19.25,-153.25,24.87
T2M,1986,19.25,-153.75,24.89
T2M,1986,19.25,-154.25,24.92
T2M,1986,19.25,-154.75,23.82
T2M,1986,19.25,-155.25,22.17
T2M,1986,19.25,-155.75,21.73
T2M,1986,19.25,-156.25,25.46
T2M,1986,19.25,-156.75,25.34
T2M,1986,19.25,-157.25,25.26
T2M,1986,19.25,-157.75,25.23
T2M,1986,19.25,-158.25,25.24
T2M,1986,19.25,-158.75,25.26
T2M,1986,19.25,-159.25,25.27
T2M,1986,19.25,-159.75,25.29
T2M,1986,19.25,-160.25,25.32
T2M,1986,19.25,-160.75,25.34
T2M,1986,19.25,-161.25,25.35
T2M,1986,19.25,-161.75,25.35
T2M,1986,19.75,-153.25,24.75
T2M,1986,19.75,-153.75,24.78
T2M,1986,19.75,-154.25,24.81
T2M,1986,19.75,-154.75,23.6
T2M,1986,19.75,-155.25,21.58
T2M,1986,19.75,-155.75,20.89
T2M,1986,19.75,-156.25,25.37
T2M,1986,19.75,-156.75,25.31
T2M,1986,19.75,-157.25,25.24
T2M,1986,19.75,-157.75,25.2
T2M,1986,19.75,-158.25,25.2
T2M,1986,19.75,-158.75,25.21
T2M,1986,19.75,-159.25,25.21
T2M,1986,19.75,-159.75,25.21
T2M,1986,19.75,-160.25,25.23
T2M,1986,19.75,-160.75,25.24
T2M,1986,19.75,-161.25,25.23
T2M,1986,19.75,-161.75,25.22
T2M,1986,20.25,-153.25,24.63
T2M,1986,20.25,-153.75,24.65
T2M,1986,20.25,-154.25,24.67
T2M,1986,20.25,-154.75,24.43
T2M,1986,20.25,-155.25,23.64
T2M,1986,20.25,-155.75,23.07
T2M,1986,20.25,-156.25,24.52
T2M,1986,20.25,-156.75,25.17
T2M,1986,20.25,-157.25,25.28
T2M,1986,20.25,-157.75,25.21
T2M,1986,20.25,-158.25,25.16
T2M,1986,20.25,-158.75,25.14
T2M,1986,20.25,-159.25,25.12
T2M,1986,20.25,-159.75,25.11
T2M,1986,20.25,-160.25,25.1
T2M,1986,20.25,-160.75,25.09
T2M,1986,20.25,-161.25,25.07
T2M,1986,20.25,-161.75,25.06
T2M,1986,20.75,-153.25,24.49
T2M,1986,20.75,-153.75,24.51
T2M,1986,20.75,-154.25,24.52
T2M,1986,20.75,-154.75,24.53
T2M,1986,20.75,-155.25,24.48
T2M,1986,20.75,-155.75,24.25
T2M,1986,20.75,-156.25,23.65
T2M,1986,20.75,-156.75,24.73
T2M,1986,20.75,-157.25,25.1
T2M,1986,20.75,-157.75,25.13
T2M,1986,20.75,-158.25,25.06
T2M,1986,20.75,-158.75,25.03
T2M,1986,20.75,-159.25,25
T2M,1986,20.75,-159.75,24.97
T2M,1986,20.75,-160.25,24.95
T2M,1986,20.75,-160.75,24.93
T2M,1986,20.75,-161.25,24.89
T2M,1986,20.75,-161.75,24.87
T2M,1986,21.25,-153.25,24.35
T2M,1986,21.25,-153.75,24.36
T2M,1986,21.25,-154.25,24.38
T2M,1986,21.25,-154.75,24.38
T2M,1986,21.25,-155.25,24.38
T2M,1986,21.25,-155.75,24.3
T2M,1986,21.25,-156.25,23.96
T2M,1986,21.25,-156.75,24.35
T2M,1986,21.25,-157.25,24.6
T2M,1986,21.25,-157.75,24.66
T2M,1986,21.25,-158.25,24.66
T2M,1986,21.25,-158.75,24.86
T2M,1986,21.25,-159.25,24.75
T2M,1986,21.25,-159.75,24.78
T2M,1986,21.25,-160.25,24.8
T2M,1986,21.25,-160.75,24.77
T2M,1986,21.25,-161.25,24.72
T2M,1986,21.25,-161.75,24.7
T2M,1986,21.75,-153.25,24.21
T2M,1986,21.75,-153.75,24.22
T2M,1986,21.75,-154.25,24.23
T2M,1986,21.75,-154.75,24.22
T2M,1986,21.75,-155.25,24.22
T2M,1986,21.75,-155.75,24.22
T2M,1986,21.75,-156.25,24.24
T2M,1986,21.75,-156.75,24.21
T2M,1986,21.75,-157.25,24.25
T2M,1986,21.75,-157.75,24.25
T2M,1986,21.75,-158.25,24.29
T2M,1986,21.75,-158.75,24.55
T2M,1986,21.75,-159.25,24.3
T2M,1986,21.75,-159.75,24.45
T2M,1986,21.75,-160.25,24.6
T2M,1986,21.75,-160.75,24.61
T2M,1986,21.75,-161.25,24.54
T2M,1986,21.75,-161.75,24.52
T2M,1986,22.25,-153.25,24.05
T2M,1986,22.25,-153.75,24.05
T2M,1986,22.25,-154.25,24.05
T2M,1986,22.25,-154.75,24.05
T2M,1986,22.25,-155.25,24.05
T2M,1986,22.25,-155.75,24.05
T2M,1986,22.25,-156.25,24.06
T2M,1986,22.25,-156.75,24.08
T2M,1986,22.25,-157.25,24.1
T2M,1986,22.25,-157.75,24.12
T2M,1986,22.25,-158.25,24.15
T2M,1986,22.25,-158.75,24.22
T2M,1986,22.25,-159.25,24
T2M,1986,22.25,-159.75,24.14
T2M,1986,22.25,-160.25,24.31
T2M,1986,22.25,-160.75,24.36
T2M,1986,22.25,-161.25,24.32
T2M,1986,22.25,-161.75,24.32
T2M,1986,22.75,-153.25,23.85
T2M,1986,22.75,-153.75,23.86
T2M,1986,22.75,-154.25,23.86
T2M,1986,22.75,-154.75,23.86
T2M,1986,22.75,-155.25,23.86
T2M,1986,22.75,-155.75,23.86
T2M,1986,22.75,-156.25,23.87
T2M,1986,22.75,-156.75,23.89
T2M,1986,22.75,-157.25,23.92
T2M,1986,22.75,-157.75,23.94
T2M,1986,22.75,-158.25,23.96
T2M,1986,22.75,-158.75,24
