PARAMETER,YEAR,LAT,LON, IRRAD [kW-hr/m^2/day]
ALLSKY_SFC_SW_DWN,1985,21.75,-157.25,5.45
ALLSKY_SFC_SW_DWN,1985,21.75,-157.75,5.45
ALLSKY_SFC_SW_DWN,1985,21.75,-158.25,5.65
ALLSKY_SFC_SW_DWN,1985,21.75,-158.75,5.65
ALLSKY_SFC_SW_DWN,1985,21.75,-159.25,5.64
ALLSKY_SFC_SW_DWN,1985,21.75,-159.75,5.64
ALLSKY_SFC_SW_DWN,1985,21.75,-160.25,5.62
ALLSKY_SFC_SW_DWN,1985,21.75,-160.75,5.62
ALLSKY_SFC_SW_DWN,1985,22.25,-154.75,5.45
ALLSKY_SFC_SW_DWN,1985,22.25,-155.25,5.47
ALLSKY_SFC_SW_DWN,1985,22.25,-155.75,5.47
ALLSKY_SFC_SW_DWN,1985,22.25,-156.25,5.48
ALLSKY_SFC_SW_DWN,1985,22.25,-156.75,5.48
ALLSKY_SFC_SW_DWN,1985,22.25,-157.25,5.51
ALLSKY_SFC_SW_DWN,1985,22.25,-157.75,5.51
ALLSKY_SFC_SW_DWN,1985,22.25,-158.25,5.52
ALLSKY_SFC_SW_DWN,1985,22.25,-158.75,5.52
ALLSKY_SFC_SW_DWN,1985,22.25,-159.25,5.51
ALLSKY_SFC_SW_DWN,1985,22.25,-159.75,5.51
ALLSKY_SFC_SW_DWN,1985,22.25,-160.25,5.59
ALLSKY_SFC_SW_DWN,1985,22.25,-160.75,5.59
ALLSKY_SFC_SW_DWN,1986,19.25,-154.75,5.18
ALLSKY_SFC_SW_DWN,1986,19.25,-155.25,5.46
ALLSKY_SFC_SW_DWN,1986,19.25,-155.75,5.46
ALLSKY_SFC_SW_DWN,1986,19.25,-156.25,5.69
ALLSKY_SFC_SW_DWN,1986,19.25,-156.75,5.69
ALLSKY_SFC_SW_DWN,1986,19.25,-157.25,5.39
ALLSKY_SFC_SW_DWN,1986,19.25,-157.75,5.39
ALLSKY_SFC_SW_DWN,1986,19.25,-158.25,5.28
ALLSKY_SFC_SW_DWN,1986,19.25,-158.75,5.28
ALLSKY_SFC_SW_DWN,1986,19.25,-159.25,5.29
ALLSKY_SFC_SW_DWN,1986,19.25,-159.75,5.29
ALLSKY_SFC_SW_DWN,1986,19.25,-160.25,5.39
ALLSKY_SFC_SW_DWN,1986,19.25,-160.75,5.39
ALLSKY_SFC_SW_DWN,1986,19.75,-154.75,5.18
ALLSKY_SFC_SW_DWN,1986,19.75,-155.25,5.46
ALLSKY_SFC_SW_DWN,1986,19.75,-155.75,5.46
ALLSKY_SFC_SW_DWN,1986,19.75,-156.25,5.69
ALLSKY_SFC_SW_DWN,1986,19.75,-156.75,5.69
ALLSKY_SFC_SW_DWN,1986,19.75,-157.25,5.39
ALLSKY_SFC_SW_DWN,1986,19.75,-157.75,5.39
ALLSKY_SFC_SW_DWN,1986,19.75,-158.25,5.28
ALLSKY_SFC_SW_DWN,1986,19.75,-158.75,5.28
ALLSKY_SFC_SW_DWN,1986,19.75,-159.25,5.29
ALLSKY_SFC_SW_DWN,1986,19.75,-159.75,5.29
ALLSKY_SFC_SW_DWN,1986,19.75,-160.25,5.39
ALLSKY_SFC_SW_DWN,1986,19.75,-160.75,5.39
ALLSKY_SFC_SW_DWN,1986,20.25,-154.75,5.41
ALLSKY_SFC_SW_DWN,1986,20.25,-155.25,5.31
ALLSKY_SFC_SW_DWN,1986,20.25,-155.75,5.31
ALLSKY_SFC_SW_DWN,1986,20.25,-156.25,5.74
ALLSKY_SFC_SW_DWN,1986,20.25,-156.75,5.74
ALLSKY_SFC_SW_DWN,1986,20.25,-157.25,5.69
ALLSKY_SFC_SW_DWN,1986,20.25,-157.75,5.69
ALLSKY_SFC_SW_DWN,1986,20.25,-158.25,5.57
ALLSKY_SFC_SW_DWN,1986,20.25,-158.75,5.57
ALLSKY_SFC_SW_DWN,1986,20.25,-159.25,5.39
ALLSKY_SFC_SW_DWN,1986,20.25,-159.75,5.39
ALLSKY_SFC_SW_DWN,1986,20.25,-160.25,5.39
ALLSKY_SFC_SW_DWN,1986,20.25,-160.75,5.39
ALLSKY_SFC_SW_DWN,1986,20.75,-154.75,5.41
ALLSKY_SFC_SW_DWN,1986,20.75,-155.25,5.31
ALLSKY_SFC_SW_DWN,1986,20.75,-155.75,5.31
ALLSKY_SFC_SW_DWN,1986,20.75,-156.25,5.74
ALLSKY_SFC_SW_DWN,1986,20.75,-156.75,5.74
ALLSKY_SFC_SW_DWN,1986,20.75,-157.25,5.69
